id,text_id,context,relationship,relation,relation_cluster,relation_cluster_label,Dominant Distortion,Secondary Distortion (Optional)
0,1, Nobody likes me because I'm not interesting.,"('like', 'Nobody', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
1,9, Nobody cares about me because they didn't ask how my day was.,"('care', 'Nobody', 'me')",care,0,Supportive Actions,General Distortion,
2,10, My partner didn't say 'I love you' today our relationship must be falling apart.,"('love', 'I', 'you')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
3,12, I didn't get a reply to my email they must hate me.,"('hate', 'they', 'me')",hate,1,Interpersonal Beliefs / Emotions,General Distortion,
4,23, No one will ever love me because I'm too shy.,"('love', 'one', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
5,39, My boss criticized my report she thinks I'm not competent.,"('criticize', 'boss', 'report')",criticize,1,Interpersonal Beliefs / Emotions,General Distortion,
6,43, My girlfriend broke up with me nobody can love me.,"('love', 'nobody', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
7,50, I wasn't invited to their wedding they must dislike me.,"('dislike', 'they', 'me')",dislike,1,Interpersonal Beliefs / Emotions,General Distortion,
8,60, My friends haven't called me they must be avoiding me.,"('avoid', 'they', 'me')",avoid,0,Supportive Actions,General Distortion,
9,61, I missed the deadline my boss will surely fire me.,"('miss', 'I', 'deadline')",miss,1,Interpersonal Beliefs / Emotions,General Distortion,
10,63, My parents criticized me they must hate me.,"('criticize', 'parents', 'me')",criticize,1,Interpersonal Beliefs / Emotions,General Distortion,
11,63, My parents criticized me they must hate me.,"('hate', 'they', 'me')",hate,1,Interpersonal Beliefs / Emotions,General Distortion,
12,78, I got rejected from the university I'm not intelligent enough.,"('reject', 'I', 'university')",reject,0,Supportive Actions,General Distortion,
13,89, I missed my bus I'm always unlucky.,"('miss', 'I', 'bus')",miss,1,Interpersonal Beliefs / Emotions,General Distortion,
14,99, I missed a workout I'm lazy.,"('miss', 'I', 'workout')",miss,1,Interpersonal Beliefs / Emotions,General Distortion,
15,100, I didn't understand the lecture I'm not smart enough for this course.,"('understand', 'I', 'lecture')",understand,0,Supportive Actions,General Distortion,
16,101, My partner forgot our anniversary they must not love me anymore.,"('love', 'they', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
17,103, My teacher marked me down they must dislike me.,"('dislike', 'they', 'me')",dislike,1,Interpersonal Beliefs / Emotions,General Distortion,
18,110, My children didn't hug me they must not love me.,"('love', 'they', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
19,113, My dog wouldn't come when I called even he doesn't respect me.,"('respect', 'he', 'me')",respect,0,Supportive Actions,General Distortion,
20,128, I'm not as popular as my friends people must not like me.,"('like', 'people', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
21,130, I missed a payment I'm irresponsible.,"('miss', 'I', 'payment')",miss,1,Interpersonal Beliefs / Emotions,General Distortion,
22,133, I didn't get invited to the reunion my classmates must dislike me.,"('dislike', 'classmates', 'me')",dislike,1,Interpersonal Beliefs / Emotions,General Distortion,
23,135, I got a negative comment on my post everyone must hate me.,"('hate', 'everyone', 'me')",hate,1,Interpersonal Beliefs / Emotions,General Distortion,
24,138, My co-worker didn't help me they must think I'm incompetent.,"('help', 'My', 'me')",help,0,Supportive Actions,General Distortion,
25,138, My co-worker didn't help me they must think I'm incompetent.,"('help', 'co', 'me')",help,0,Supportive Actions,General Distortion,
26,138, My co-worker didn't help me they must think I'm incompetent.,"('help', '-', 'me')",help,0,Supportive Actions,General Distortion,
27,138, My co-worker didn't help me they must think I'm incompetent.,"('help', 'worker', 'me')",help,0,Supportive Actions,General Distortion,
28,155, My team didn't support my proposal they must think I'm incompetent.,"('support', 'team', 'proposal')",support,0,Supportive Actions,General Distortion,
29,162, I didn't get a return call after the interview they must have disliked me.,"('dislike', 'they', 'me')",dislike,1,Interpersonal Beliefs / Emotions,General Distortion,
30,167, My neighbor didn't return my greeting they must hate me.,"('hate', 'they', 'me')",hate,1,Interpersonal Beliefs / Emotions,General Distortion,
31,171, My partner didn't notice my new haircut they don't care about me.,"('care', 'they', 'me')",care,0,Supportive Actions,General Distortion,
32,184, My friend didn't return my call they must be avoiding me.,"('avoid', 'they', 'me')",avoid,0,Supportive Actions,General Distortion,
33,191, I didn't get a thank you note they must not have liked my gift.,"('like', 'they', 'gift')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
34,200, My neighbor didn't wave back they must dislike me.,"('dislike', 'they', 'me')",dislike,1,Interpersonal Beliefs / Emotions,General Distortion,
35,202, I was not elected club president nobody respects me.,"('respect', 'nobody', 'me')",respect,0,Supportive Actions,General Distortion,
36,210, My friend didn't wish me on my birthday they must not care about me.,"('care', 'they', 'me')",care,0,Supportive Actions,General Distortion,
37,212, I wasn't invited to the baby shower they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
38,217, My date didn't offer to pay they must not like me.,"('like', 'they', 'me')",like,1,Interpersonal Beliefs / Emotions,General Distortion,
39,225, My dog prefers my spouse he must not love me.,"('love', 'he', 'me')",love,1,Interpersonal Beliefs / Emotions,General Distortion,
40,247, I didn't get a response to my email they must not respect me.,"('respect', 'they', 'me')",respect,0,Supportive Actions,General Distortion,
