context,love,like,hate,date,help,dist_General Distortion,dist_No Distortion,dist_Labeling,dist_Magnification,dist_Fortune-telling,dist_Personalization,dist_Mind Reading,dist_Mental filter,dist_Emotional Reasoning,dist_Overgeneralization,dist_All-or-nothing thinking,dist_Should statements
 Nobody likes me because I'm not interesting.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Nobody cares about me because they didn't ask how my day was.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't say 'I love you' today our relationship must be falling apart.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get a reply to my email they must hate me.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 No one will ever love me because I'm too shy.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My boss criticized my report she thinks I'm not competent.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My girlfriend broke up with me nobody can love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't invited to their wedding they must dislike me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My friends haven't called me they must be avoiding me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I missed the deadline my boss will surely fire me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My parents criticized me they must hate me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My parents criticized me they must hate me.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I got rejected from the university I'm not intelligent enough.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I missed my bus I'm always unlucky.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I missed a workout I'm lazy.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't understand the lecture I'm not smart enough for this course.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner forgot our anniversary they must not love me anymore.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My teacher marked me down they must dislike me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My children didn't hug me they must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My dog wouldn't come when I called even he doesn't respect me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I'm not as popular as my friends people must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I missed a payment I'm irresponsible.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get invited to the reunion my classmates must dislike me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I got a negative comment on my post everyone must hate me.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My co-worker didn't help me they must think I'm incompetent.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
 My co-worker didn't help me they must think I'm incompetent.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
 My co-worker didn't help me they must think I'm incompetent.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
 My co-worker didn't help me they must think I'm incompetent.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
 My team didn't support my proposal they must think I'm incompetent.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get a return call after the interview they must have disliked me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My neighbor didn't return my greeting they must hate me.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't notice my new haircut they don't care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't return my call they must be avoiding me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get a thank you note they must not have liked my gift.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My neighbor didn't wave back they must dislike me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I was not elected club president nobody respects me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My friend didn't wish me on my birthday they must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I wasn't invited to the baby shower they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My date didn't offer to pay they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My dog prefers my spouse he must not love me.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 I didn't get a response to my email they must not respect me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My partner didn't text me all day they must not care about me.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 My team didn't invite me to lunch they must not like me.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
