id,text_id,context,subject,relation,object,negated,dominant_distortion,secondary_distortion,relation_text,relation_cluster,relation_cluster_label,Dominant Distortion,Secondary Distortion (Optional)
0,1, Nobody likes me because I'm not interesting.,Nobody,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
1,9, Nobody cares about me because they didn't ask how my day was.,Nobody,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
2,10, My partner didn't say 'I love you' today our relationship must be falling apart.,I,love,you,False,General Distortion,,love,1,Supportive Actions,General Distortion,
3,12, I didn't get a reply to my email they must hate me.,they,hate,me,False,General Distortion,,hate,1,Supportive Actions,General Distortion,
4,23, No one will ever love me because I'm too shy.,one,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
5,39, My boss criticized my report she thinks I'm not competent.,boss,criticize,report,False,General Distortion,,criticize,3,Interpersonal Beliefs / Roles,General Distortion,
6,43,My girlfriend broke up with me nobody can love me.,nobody,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
7,50, I wasn't invited to their wedding they must dislike me.,they,dislike,me,False,General Distortion,,dislike,3,Interpersonal Beliefs / Roles,General Distortion,
8,60, My friends haven't called me they must be avoiding me.,they,avoid,me,False,General Distortion,,avoid,1,Supportive Actions,General Distortion,
9,61,I missed the deadline my boss will surely fire me.,I,miss,deadline,False,General Distortion,,miss,1,Supportive Actions,General Distortion,
10,63, My parents criticized me they must hate me.,parents,criticize,me,False,General Distortion,,criticize,3,Interpersonal Beliefs / Roles,General Distortion,
11,63, My parents criticized me they must hate me.,they,hate,me,False,General Distortion,,hate,1,Supportive Actions,General Distortion,
12,78, I got rejected from the university I'm not intelligent enough.,I,reject,university,False,General Distortion,,reject,4,Social Attachment & Rejection,General Distortion,
13,89, I missed my bus I'm always unlucky.,I,miss,bus,False,General Distortion,,miss,1,Supportive Actions,General Distortion,
14,99,I missed a workout I'm lazy.,I,miss,workout,False,General Distortion,,miss,1,Supportive Actions,General Distortion,
15,100, I didn't understand the lecture I'm not smart enough for this course.,I,understand,lecture,False,General Distortion,,understand,1,Supportive Actions,General Distortion,
16,101, My partner forgot our anniversary they must not love me anymore.,they,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
17,103, My teacher marked me down they must dislike me.,they,dislike,me,False,General Distortion,,dislike,3,Interpersonal Beliefs / Roles,General Distortion,
18,110, My children didn't hug me they must not love me.,they,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
19,113, My dog wouldn't come when I called even he doesn't respect me.,he,respect,me,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
20,128, I'm not as popular as my friends people must not like me.,people,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
21,130,I missed a payment I'm irresponsible.,I,miss,payment,False,General Distortion,,miss,1,Supportive Actions,General Distortion,
22,133, I didn't get invited to the reunion my classmates must dislike me.,classmates,dislike,me,False,General Distortion,,dislike,3,Interpersonal Beliefs / Roles,General Distortion,
23,135,I got a negative comment on my post everyone must hate me.,everyone,hate,me,False,General Distortion,,hate,1,Supportive Actions,General Distortion,
24,138, My co-worker didn't help me they must think I'm incompetent.,My,help,me,False,General Distortion,,help,0,Negative Affect / Conflict Emotion,General Distortion,
25,138, My co-worker didn't help me they must think I'm incompetent.,co,help,me,False,General Distortion,,help,0,Negative Affect / Conflict Emotion,General Distortion,
26,138, My co-worker didn't help me they must think I'm incompetent.,-,help,me,False,General Distortion,,help,0,Negative Affect / Conflict Emotion,General Distortion,
27,138, My co-worker didn't help me they must think I'm incompetent.,worker,help,me,False,General Distortion,,help,0,Negative Affect / Conflict Emotion,General Distortion,
28,155, My team didn't support my proposal they must think I'm incompetent.,team,support,proposal,False,General Distortion,,support,0,Negative Affect / Conflict Emotion,General Distortion,
29,162, I didn't get a return call after the interview they must have disliked me.,they,dislike,me,False,General Distortion,,dislike,3,Interpersonal Beliefs / Roles,General Distortion,
30,167, My neighbor didn't return my greeting they must hate me.,they,hate,me,False,General Distortion,,hate,1,Supportive Actions,General Distortion,
31,171, My partner didn't notice my new haircut they don't care about me.,they,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
32,184,My friend didn't return my call they must be avoiding me.,they,avoid,me,False,General Distortion,,avoid,1,Supportive Actions,General Distortion,
33,191, I didn't get a thank you note they must not have liked my gift.,they,like,gift,False,General Distortion,,like,1,Supportive Actions,General Distortion,
34,200, My neighbor didn't wave back they must dislike me.,they,dislike,me,False,General Distortion,,dislike,3,Interpersonal Beliefs / Roles,General Distortion,
35,202, I was not elected club president nobody respects me.,nobody,respect,me,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
36,210,My friend didn't wish me on my birthday they must not care about me.,they,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
37,212, I wasn't invited to the baby shower they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
38,217, My date didn't offer to pay they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
39,225, My dog prefers my spouse he must not love me.,he,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
40,247, I didn't get a response to my email they must not respect me.,they,respect,me,False,General Distortion,,respect,0,Negative Affect / Conflict Emotion,General Distortion,
41,252, My partner didn't text me all day they must not care about me.,they,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
42,257, My team didn't invite me to lunch they must not like me.,they,like,me,False,General Distortion,,like,1,Supportive Actions,General Distortion,
43,263, I didn't get a reply to my message they must not care about me.,they,care,me,False,General Distortion,,care,0,Negative Affect / Conflict Emotion,General Distortion,
44,282, My partner didn't say 'I love you' today they must not love me anymore.,I,love,you,False,General Distortion,,love,1,Supportive Actions,General Distortion,
45,282, My partner didn't say 'I love you' today they must not love me anymore.,they,love,me,False,General Distortion,,love,1,Supportive Actions,General Distortion,
