context,resolved_context,context_nouns,subcluster,subcluster_id
 Nobody likes me because I'm not interesting.,"CorefResult(text="" Nobody likes me because I'm not interesting."", clusters=[['me', 'I']])",[],like (Supportive Actions),2
 Nobody cares about me because they didn't ask how my day was.,"CorefResult(text="" Nobody cares about me because they didn't ask how..."", clusters=[['me', 'my']])",['my day'],care (general),
 My partner didn't say 'I love you' today our relationship must be falling apart.,"CorefResult(text="" My partner didn't say 'I love you' today our rela..."", clusters=[['My partner', 'I']])","[' My partner', 'our relationship']",love (Supportive Actions),0
 I didn't get a reply to my email they must hate me.,"CorefResult(text="" I didn't get a reply to my email they must hate m..."", clusters=[['I', 'my', 'me']])","['a reply', 'my email']",hate (Supportive Actions),2
 No one will ever love me because I'm too shy.,"CorefResult(text="" No one will ever love me because I'm too shy."", clusters=[['me', 'I']])",[' No one'],love (Supportive Actions),1
 My boss criticized my report she thinks I'm not competent.,"CorefResult(text="" My boss criticized my report she thinks I'm not c..."", clusters=[['My', 'my', 'I']])","[' My boss', 'my report']",criticize (general),
My girlfriend broke up with me nobody can love me.,"CorefResult(text=""My girlfriend broke up with me nobody can love me."", clusters=[['My', 'me', 'me']])",['My girlfriend'],love (Supportive Actions),1
 I wasn't invited to their wedding they must dislike me.,"CorefResult(text="" I wasn't invited to their wedding they must disli..."", clusters=[['their', 'they'], ['I', 'me']])",['their wedding'],dislike (general),
 My friends haven't called me they must be avoiding me.,"CorefResult(text="" My friends haven't called me they must be avoidin..."", clusters=[['My', 'me', 'me']])",[' My friends'],avoid (general),
I missed the deadline my boss will surely fire me.,"CorefResult(text=""I missed the deadline my boss will surely fire me."", clusters=[['I', 'my', 'me']])","['the deadline', 'my boss']",miss (general),
 My parents criticized me they must hate me.,"CorefResult(text="" My parents criticized me they must hate me."", clusters=[['My', 'me']])",[' My parents'],criticize (general),
 My parents criticized me they must hate me.,"CorefResult(text="" My parents criticized me they must hate me."", clusters=[['My', 'me']])",[' My parents'],hate (Supportive Actions),2
 I got rejected from the university I'm not intelligent enough.,"CorefResult(text="" I got rejected from the university I'm not intell..."", clusters=[['I', 'I']])",['the university'],reject (general),
 I missed my bus I'm always unlucky.,"CorefResult(text="" I missed my bus I'm always unlucky."", clusters=[['I', 'my', 'I']])",['my bus'],miss (general),
I missed a workout I'm lazy.,"CorefResult(text=""I missed a workout I'm lazy."", clusters=[['I', 'I']])",['a workout'],miss (general),
 I didn't understand the lecture I'm not smart enough for this course.,"CorefResult(text="" I didn't understand the lecture I'm not smart eno..."", clusters=[['I', 'I']])","['the lecture', 'this course']",understand (general),
 My partner forgot our anniversary they must not love me anymore.,"CorefResult(text="" My partner forgot our anniversary they must not l..."", clusters=[])","[' My partner', 'our anniversary']",love (Supportive Actions),1
 My teacher marked me down they must dislike me.,"CorefResult(text="" My teacher marked me down they must dislike me."", clusters=[['My', 'me', 'me']])",[' My teacher'],dislike (general),
 My children didn't hug me they must not love me.,"CorefResult(text="" My children didn't hug me they must not love me."", clusters=[['My', 'me', 'me']])",[' My children'],love (Supportive Actions),1
 My dog wouldn't come when I called even he doesn't respect me.,"CorefResult(text="" My dog wouldn't come when I called even he doesn'..."", clusters=[['My', 'I', 'me'], ['My dog', 'he']])",[' My dog'],respect (general),
 I'm not as popular as my friends people must not like me.,"CorefResult(text="" I'm not as popular as my friends people must not ..."", clusters=[['I', 'my', 'me']])","['my friends', 'people']",like (Supportive Actions),2
I missed a payment I'm irresponsible.,"CorefResult(text=""I missed a payment I'm irresponsible."", clusters=[['I', 'I']])",['a payment'],miss (general),
